stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Price Per Carat,Depth %,Table %,Country,State,City,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Shade,Milky,Eye Clean,Treatment,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Comment,Key to symbols,fancy color,Fancy Color Intensity,Fancy Color Overtone,Certificate File,Diamond Video,Diamond Image,Heart Image,Arrow Image,Asset Image
KKV1100,Available,ROUND,1.890,D,VS1,ID,EX,EX,N,,7.83X7.88X4.90,IGI,522222478,37344.32,62.3,59.00,India,MH,Mumbai,15.00,35.90,43.50,40.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1100,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1100,,,
KKV1101,Available,EMERALD,2.070,D,VVS2,,EX,EX,N,,8.66X6.03X4.02,IGI,522222517,40960.5,66.7,63.00,India,MH,Mumbai,14.00,26.10,48.00,39.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1101,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1101,,,
KKV1102,Available,OVAL,1.620,D,VS2,,EX,EX,N,,9.30X6.64X4.18,IGI,517224664,24124.2,63,58.00,India,MH,Mumbai,14.00,34.20,44.50,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1102,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1102,,,
KKV1103,Available,OVAL,1.850,D,VS2,,EX,EX,,,9.51X6.98X4.48,IGI,519232070,23938.2,64.2,61.00,India,MH,Mumbai,14.50,36.90,45.50,41.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1103,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1103,,,
KKV1104,Available,EMERALD,1.550,E,VVS2,,EX,EX,,,7.98X5.41X3.68,IGI,519232071,26526.8,68,63.00,India,MH,Mumbai,13.50,22.80,51.50,42.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1104,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1104,,,
KKV1105,Available,OVAL,2.050,D,VVS2,,EX,EX,N,,10.10X7.20X4.53,IGI,517224663,40897.5,62.9,59.00,India,MH,Mumbai,14.00,34.70,44.50,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1105,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1105,,,
KKV1106,Available,OVAL,1.330,E,VS1,,EX,EX,,,8.78X6.25X3.89,IGI,519232072,15444,62.2,58.00,India,MH,Mumbai,14.00,33.00,44.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1106,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1106,,,
KKV1107,Available,EMERALD,1.820,E,VVS1,,EX,EX,N,,8.26X5.78X3.93,IGI,517224662,28838.95,68,63.00,India,MH,Mumbai,13.00,24.30,52.00,40.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1107,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1107,,,
KKV1108,Available,ROUND,2.050,D,VS2,ID,EX,EX,N,,8.19X8.22X5.03,IGI,522222516,44111.25,61.3,55.00,India,MH,Mumbai,15.00,33.90,43.00,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1108,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1108,,,
KKV1109,Available,OVAL,1.880,D,VS1,,EX,EX,N,,9.75X6.97X4.39,IGI,519239232,26390.8,63,59.00,India,MH,Mumbai,14.50,35.30,44.00,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1109,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1109,,,
KKV1110,Available,OVAL,1.810,E,VVS1,,EX,EX,N,,9.46X6.95X4.47,IGI,517224661,28771.9,64.3,61.00,India,MH,Mumbai,15.00,37.40,45.50,41.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1110,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1110,,,
KKV1112,Available,EMERALD,2.020,D,VS1,,EX,EX,N,,8.48X5.96X4.04,IGI,522222515,37059.5,67.8,65.50,India,MH,Mumbai,13.00,23.60,50.50,40.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1112,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1112,,,
KKV1114,Available,OVAL,2.060,D,VVS2,,EX,EX,N,,10.10X7.23X4.56,IGI,517224660,40897.5,63.1,59.50,India,MH,Mumbai,13.00,33.20,46.00,41.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1114,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1114,,,
KKV1115,Available,EMERALD,1.830,D,VVS1,,EX,EX,N,,8.19X5.75X3.96,IGI,520273385,31742.2,68.9,63.50,India,MH,Mumbai,14.50,25.90,51.50,40.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1115,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1115,,,
KKV1116,Available,OVAL,1.730,D,VS2,,EX,EX,N,,9.48X6.79X4.28,IGI,517224659,24062.2,63,58.50,India,MH,Mumbai,14.50,35.00,44.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1116,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1116,,,
KKV1117,Available,PRINCESS,1.570,D,VS1,,EX,EX,,,6.30X6.30X4.52,IGI,519232073,26390.8,71.7,69.00,India,MH,Mumbai,10.50,41.20,58.00,39.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1117,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1117,,,
